Id2,Total; Estimate; Total population,Male; Estimate; Total population,Female; Estimate; Total population,Male; Estimate; AGE - Under 5 years,Male; Estimate; AGE - 45 to 49 years,Male; Estimate; AGE - 50 to 54 years,Male; Estimate; AGE - 55 to 59 years,Male; Estimate; SELECTED AGE CATEGORIES - 5 to 14 years,Male; Estimate; SELECTED AGE CATEGORIES - 15 to 44 years,Male; Estimate; SELECTED AGE CATEGORIES - 60 years and over,Female; Estimate; AGE - Under 5 years,Female; Estimate; AGE - 45 to 49 years,Female; Estimate; AGE - 50 to 54 years,Female; Estimate; AGE - 55 to 59 years,Female; Estimate; SELECTED AGE CATEGORIES - 5 to 14 years,Female; Estimate; SELECTED AGE CATEGORIES - 15 to 44 years,Female; Estimate; SELECTED AGE CATEGORIES - 60 years and over,Male; Estimate; SUMMARY INDICATORS - Median age (years),Female; Estimate; SUMMARY INDICATORS - Median age (years),Number of establishments,Paid employees for pay period including March 12 (number),"First-quarter payroll ($1,000)","Annual payroll ($1,000)"
74074,30524,15155,15369,5.8,4.9,5.3,5,10,57.1,11.9,6.5,4.5,5.4,4.7,10.7,53.2,15.1,25.6,25.2,871,10978,85754,356687
30217,9640,4791,4849,6.1,7.2,7,6.3,14.3,39.4,19.6,6.3,6.2,7,7.7,13.1,37.5,22.1,37.6,39.2,113,1237,12008,44692
61611,25463,12478,12985,4.6,7,7.3,7.8,11.5,39.3,22.4,5,6.6,7.7,8.3,10.7,34.9,26.8,41.4,44.6,663,13897,130110,546442
29644,19489,9498,9991,5.2,7.2,7.3,6.9,18,37.1,18.3,7.1,7.7,4.8,8.3,13.7,38.7,19.8,38.6,38.6,294,7185,70215,296150
28729,3182,1670,1512,3.4,3.2,11.4,4.6,11.7,41.1,24.7,5,8.7,4.1,7.4,10.1,35.8,29,39.6,44.1,65,491,2652,12413
28460,9966,5241,4725,8,4.6,4.3,3.5,12.4,53.1,14.2,7.2,3.1,6.1,3.8,14.9,45.5,19.4,29.1,31.3,157,1151,6435,28585
24649,2973,1529,1444,1.2,9.4,5.2,7.3,8.6,42.1,26.2,1.8,9.2,13,6.2,10,30.7,29.1,43.9,49.8,18,183,1629,6471
26155,8356,4061,4295,5.2,8.6,7.8,8.3,12.4,29.9,27.8,4.5,6.3,7.8,5.9,9.9,33.3,32.2,47.3,47.3,239,3574,34825,144130
62425,563,316,247,10.8,24.7,4.4,3.5,7.6,29.7,19.3,6.1,12.1,5.7,8.1,4.9,40.9,22.3,46.3,44.8,10,21,115,519
23110,617,322,295,4,9,9.6,0,9.3,29.2,38.8,1.7,1.7,9.2,2,15.3,25.4,44.7,49.8,52.5,16,114,730,3272
78660,79067,38006,41061,8.8,7.4,6.1,6,16.6,45.5,9.7,8.1,7.9,7,5.3,15.5,44.1,12,33.3,35.1,1048,14086,115136,494002
96125,242,136,106,0,25,0,4.4,0,5.9,64.7,0,0,0,13.2,0,9.4,77.4,62.3,62.9,9,9,43,517
44095,33374,16583,16791,6,6.4,8.5,8.3,12.3,38.1,20.4,4.4,7.2,9.2,7.4,11.7,32.4,27.7,39.9,46.2,591,6003,52151,223055
80118,6201,2981,3220,4.9,9,9.8,14.6,11.2,27,23.4,5.5,10,11,9.5,11.5,30.7,21.8,49.1,46.2,166,622,5692,26671
68340,854,415,439,10.1,4.3,8,6,8.9,36.6,26,7.5,5,12.1,6.2,11.2,32.8,25.3,37.1,40.8,38,858,6973,33112
69162,8037,3888,4149,6.5,7,6.1,8,15.2,37.2,19.9,7.4,6.8,7.9,6,13,35,23.8,37,40.3,258,3518,40230,148243
92115,62308,31146,31162,6.9,3.9,6.8,4.9,9.9,56.2,11.5,6.1,4.3,5.2,5,10.5,55.8,13,28.3,28.4,869,7445,53907,224119
68714,1163,563,600,2.8,5.3,9.1,13,11.4,30.9,27.5,1.7,4.8,7.8,9.3,11.8,28.7,35.8,49.8,52.1,45,333,2761,10791
57301,18470,9403,9067,6.5,5,7.4,5.4,13.1,42,20.6,5.7,5.2,7,5.7,11.1,35.9,29.5,34.5,42.4,708,11499,94816,393903
11235,76668,36247,40421,6.1,7.5,6.6,7.1,10.9,36.4,25.4,4.9,6.6,7.9,7.1,9.1,34,30.4,42.2,46.1,2654,20083,177281,773804
12125,1492,733,759,2.2,10,17.6,9,10.5,37.7,13.1,0.5,15.3,11.2,3.2,8.8,33.6,27.4,43.9,46.8,49,342,2150,11026
46366,5614,2888,2726,8,7.4,7.1,6.1,14.5,35.1,21.8,7.1,6.1,10.1,8.3,10.6,35,22.8,39.4,42.5,70,581,4606,19321
95531,23801,13378,10423,6.3,7.5,7.3,6,9.8,45.4,17.7,6.3,7.4,9.1,9.2,11.8,32.6,23.6,37,44.2,384,3613,26269,110083
6770,31831,15913,15918,6.5,6.7,7,8.5,13.3,41.1,17,7.1,6.7,9.1,6.6,10.2,36.6,23.7,37.5,42.7,448,6602,64784,273924
10005,8131,3904,4227,4.8,5.7,3.5,1.5,5.8,77.8,0.9,2.6,3.3,3.1,1.3,3.9,83.6,2.2,29.7,29.2,1321,45854,2392378,6553790
28212,42007,20175,21832,10.9,5.7,5.3,4.3,14.5,50.6,8.6,8.8,5.7,6.1,5.4,14.9,47.8,11.3,29.4,30.5,552,6853,66777,284381
97148,3218,1552,1666,2.9,7.6,6.6,12,11.4,27.5,31.9,3.7,7.1,8.2,10,11,28.2,31.8,51.4,48.9,71,350,2829,13812
72104,23641,12196,11445,5.6,8.1,7.3,7.3,11.5,41.1,19.2,5.6,7,6.1,6.4,13.6,35.2,26.1,37.1,42.3,395,5732,46312,192797
30125,24623,12122,12501,7.4,6.3,6,4.9,17.8,40.3,17.3,6.7,7.5,5.8,6.2,17,35.2,21.7,32.6,36.9,349,5205,42074,171913
49720,8966,4495,4471,6.2,7.8,7.3,7.9,9.5,31.5,29.8,4.5,6.3,8.8,8.7,10.2,28.7,32.8,46,50.2,332,3409,31167,140287
71827,583,329,254,0.9,2.4,6.4,4.3,20.4,36.5,29.2,7.5,12.2,3.1,3.1,10.6,23.2,40.2,41.7,47.5,6,9,56,245
71404,570,305,265,0,17.7,3.9,3.9,16.4,35.7,22.3,1.1,7.2,21.1,1.5,12.8,21.1,35.1,37.8,50.6,8,30,193,725
46239,28796,14121,14675,10,6.6,7,5.6,19.4,39.6,11.9,8.3,6.8,7.3,6,16.9,39.9,14.9,31.6,33.8,408,4407,42356,185831
49891,788,413,375,0.5,4.4,8.5,5.3,13.3,29.5,38.5,4,10.7,14.4,7.5,16.3,14.9,32.3,51.7,50.6,12,44,187,853
57720,634,320,314,8.1,9.1,1.9,10.6,9.1,40.6,20.6,5.4,5.4,8.3,8,10.8,37.6,24.5,38.8,43.4,28,367,5035,20575
21655,5170,2554,2616,4.3,8.1,9.1,4.6,12.3,37.4,24.2,6.3,6.1,8.9,6.2,14.4,36.9,21.4,40.8,39.6,67,639,6878,30405
59930,767,343,424,0,1.7,18.1,16.3,13.4,6.1,44.3,10.4,1.7,13.7,17.5,3.5,20,33.3,58.7,56.2,22,86,517,2574
94507,16653,8431,8222,3.5,7.1,8,8.8,14.4,30.8,27.4,6.8,7.6,10,8.6,13.4,27.1,26.6,46.1,47.2,426,2889,34423,153084
13439,3804,1873,1931,4.6,6.9,9.2,6.1,11.2,33.5,28.5,2.4,7.2,9.5,7.3,14.4,31.5,27.7,46.1,46.5,73,450,2507,11896
56232,2446,1190,1256,5.5,4.2,9.2,6.9,12.3,33.5,28.4,3.7,5.2,6,7.2,15.8,27.1,35,44,49.2,84,911,6055,27005
